,"gouvernement","nouveau","france","trouver","canada","saint","déclarer","bien","état","rendre","premier","ministre","aller","moi","dernier","foi","montréal","langue","million","rester","dire","étranger","jour","national","elle","cinq","cent","prendre","autre","province","encore","nous","donner","important","américain","affaire","affirmer","cour","chef","devoir","travail","tenir","président","monde","états","unis","avant","anglais","problème","fédéral","temps","notamment","point","grand","général","gaulle","politique","trois","paris","je","ottawa","savoir","lui","homme","vouloir","venir","notre","non","voir","dix","plusieurs","pays","économique","jean","permettre","libéral","jeune","contre","parti","social","francophone","québécois","culturel"
"interpréter",2,2,2,0,4,0,1,4,1,0,2,3,0,0,1,1,0,1,0,0,1,0,0,0,2,0,0,0,1,2,0,0,1,2,0,1,0,3,1,5,0,2,1,1,0,0,0,1,1,1,1,0,0,1,8,6,1,1,0,2,3,1,4,0,0,3,0,0,0,1,0,2,0,0,2,1,0,1,1,1,0,0,1
"inutile",1,3,2,2,2,1,0,3,2,3,2,0,1,1,0,1,0,0,0,1,4,0,1,0,0,0,0,0,7,1,2,3,2,0,0,0,0,0,1,3,1,1,0,1,0,0,0,2,1,0,1,1,0,0,2,2,1,0,0,3,1,4,1,1,1,1,2,1,1,0,0,2,2,0,0,0,0,1,0,0,0,2,0
"joie",2,1,0,0,2,0,1,1,0,1,0,1,1,2,0,4,1,0,0,1,1,0,0,0,4,0,0,0,3,1,1,3,4,0,0,0,0,0,2,0,0,0,2,4,0,0,1,1,1,0,0,1,1,7,3,3,0,0,4,2,0,2,4,0,0,0,3,0,2,1,0,0,0,2,1,0,2,0,0,0,1,0,0
"joindre",1,1,3,0,5,1,1,2,1,0,2,4,0,1,1,1,2,0,1,0,0,0,0,0,4,0,2,1,3,1,0,3,1,0,1,2,2,1,0,2,0,1,1,2,4,4,0,2,1,0,1,0,0,4,3,2,0,0,0,2,1,3,6,2,2,4,3,0,0,0,0,4,1,0,0,1,1,0,0,0,2,2,1
"justement",0,3,3,2,1,0,0,3,1,0,1,1,0,0,1,1,2,2,0,0,6,0,1,0,4,1,0,2,2,1,1,8,1,1,0,1,1,0,0,1,0,1,0,2,0,0,0,1,1,0,0,1,1,1,3,1,5,1,0,2,0,6,6,3,0,0,1,1,2,1,0,1,1,1,1,0,2,1,0,0,0,2,0
"kennedy",2,3,1,0,1,1,1,1,2,0,4,0,0,0,3,0,1,0,1,0,1,1,0,1,3,1,0,0,1,0,1,0,1,0,3,2,0,2,0,2,0,3,15,0,9,8,1,0,1,0,0,0,0,4,2,2,3,1,1,0,0,1,1,2,0,0,1,1,1,1,4,2,2,1,1,0,0,1,0,0,0,0,0
"laïc",1,2,0,1,0,2,0,1,0,0,2,0,3,0,5,1,2,0,0,1,2,0,0,2,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,11,0,1,1,4,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0
"lancement",2,2,2,0,0,0,1,2,1,0,8,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2,8,0,0,0,0,1,0,1,0,0,0,0,2,1,0,1,0,1,0,0,1,1,0,2,2,1,1,0,1,0,0,1,0,2,0,1,2,1,0,0,1,0,0,0,1,0,2,2,3
"légitime",6,3,2,3,5,2,2,5,4,1,2,0,1,1,1,0,0,1,0,1,3,1,3,2,5,0,0,0,5,0,1,1,4,0,0,0,1,0,1,3,0,2,1,1,0,0,0,2,0,1,0,0,0,0,2,2,3,0,0,3,1,0,2,0,3,1,4,2,3,1,1,3,1,0,2,1,0,0,1,0,2,2,3
"lévesque",1,1,1,1,6,1,0,5,3,0,2,11,1,2,4,0,2,1,0,0,1,0,0,3,2,0,1,0,1,3,2,0,0,2,1,0,0,0,1,4,1,0,1,0,1,1,1,3,0,0,0,1,1,1,0,0,5,1,0,0,0,0,4,0,0,1,0,0,0,0,1,0,7,0,0,6,0,1,10,3,0,4,1
"limite",3,0,3,0,0,1,1,2,1,0,1,1,1,0,1,0,1,0,1,3,1,0,2,0,1,1,0,3,6,0,0,0,3,0,1,0,0,1,2,1,0,0,0,1,1,3,1,0,2,0,1,1,0,1,2,0,2,0,1,1,1,2,6,1,0,1,0,1,0,1,1,3,1,0,0,0,1,1,1,1,1,1,0
"logement",3,0,1,5,1,0,0,0,0,0,3,1,1,1,1,2,2,0,0,0,1,1,3,3,1,2,4,0,1,1,0,1,0,0,0,0,0,1,0,1,4,1,1,0,0,0,1,0,4,0,0,0,0,4,0,0,2,6,3,0,0,0,0,1,0,0,2,0,2,1,2,0,0,0,0,0,0,1,0,2,1,0,0
"logique",1,2,3,2,1,0,0,0,0,0,1,1,0,0,0,3,0,4,0,1,1,0,0,0,7,0,0,0,3,0,1,3,2,1,1,0,0,1,0,2,0,2,0,2,1,0,1,0,0,2,0,1,0,3,3,2,2,0,0,0,1,1,2,2,1,4,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,3,0
"loisir",0,2,4,2,0,0,1,0,1,2,3,2,1,2,2,0,0,0,0,1,2,0,0,3,2,0,0,0,3,1,3,0,1,2,0,0,0,0,3,3,2,1,2,1,0,0,0,0,1,0,3,0,0,3,1,1,1,1,1,3,0,0,2,1,2,0,1,0,0,0,1,2,0,1,0,1,3,2,0,1,0,5,4
"malgache",2,1,1,0,2,2,1,0,3,4,0,16,2,3,3,0,0,1,0,0,0,4,1,8,1,1,0,1,2,0,0,0,0,0,0,6,0,1,2,0,2,5,4,0,4,0,0,0,1,0,1,0,0,1,6,0,0,1,4,0,1,2,1,0,0,0,1,0,0,1,0,9,0,2,0,0,0,0,0,0,3,2,2
"massif",3,2,0,1,3,1,0,3,2,0,0,1,0,0,3,2,1,1,0,1,1,2,1,1,3,1,3,1,5,2,2,2,0,1,3,0,0,0,1,1,0,0,1,0,0,1,1,1,2,0,1,0,0,4,3,1,0,0,1,1,1,1,1,1,0,0,2,0,1,1,2,4,0,0,0,3,1,1,3,0,0,0,0
"maximum",6,1,1,1,3,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,1,5,0,0,1,0,0,1,1,1,0,3,1,1,2,0,1,0,0,1,0,4,0,1,1,1,0,1,1,2,0,0,0,0,1,2,3,0,0,5,0,1,1,0,3,0,4,1,0,3,0,1,5,0,4,0,0,0,0,2,0,0,3
